i,GM_RAS,units
585,-27411.2222007464,0
586,-24039.1938752194,0
587,-52841.0621186499,0
588,-10254.763981154,0
589,105986.678283112,13
590,74961.0447966079,39
591,-41301.6574913754,0
592,-32888.3126337732,0
593,0,0
594,-7130.2105855368,0
595,-54321.9254984394,0
596,-391613.007868009,0
597,-41058.0172640363,0
598,7859.94540952984,10
599,-44843.3657999423,0
601,-22455.6962689739,0
602,-22455.6962689739,0
603,-17033.3655602004,0
604,-23103.9602424763,0
605,-38958.9073160492,0
606,-10962.7708779244,0
607,-17033.3655602004,0
608,-62593.0220716505,0
609,-24282.3787291038,0
610,-57700.8458760021,0
611,99665.7942936495,20
612,-21159.6360415437,0
613,24508.9152541512,4
614,18317.4473962324,60
615,-8272.91702040238,0
616,-31414.0603517658,0
617,-6351.14025038981,0
618,-61585.910140377,0
619,-59043.4162332187,0
620,-20834.6556108417,0
621,-33570.9091516341,0
622,-41755.7259481129,0
623,-46956.4634990441,0
624,88150.4943096117,10
625,0,0
626,0,0
627,-25341.5036970709,0
629,-43679.3001446445,0
630,-42688.3540211375,0
631,-63919.9072704991,0
632,-51557.0674780242,0
633,-60213.844288954,0
634,-53763.5169851402,0
635,-42520.1069003099,0
636,-33968.9322165472,0
637,-23580.9594805823,0
638,-34667.3888615968,0
639,-18758.4732461456,0
640,-38385.0796338966,0
641,-44037.9534986039,0
642,-28522.8628798112,0
643,-52311.1449306156,0
644,-52182.5942629544,0
645,-49613.4459684676,0
646,-98376.6243903365,0
647,-133019.937917322,0
648,-28917.1324943228,0
650,21764.8701182795,16
651,11971.8079333134,50
652,-57892.2727584995,0
653,37764.3173392212,9
654,-73310.0518046283,0
655,-14930.2671078867,0
657,11013.6763129764,2
658,-51844.2021910888,0
659,-10962.7708779244,0
660,-68510.5920062368,0
661,-57630.0622033934,0
662,-52098.3333682377,0
663,-2715.52102138437,0
664,0,0
665,-26873.4667628213,0
666,-44307.0171324463,0
667,-6070.59468227594,0
668,-60224.007156568,0
669,-36905.5222091956,0
670,-34038.2997218756,0
671,-12141.1893645519,0
672,-50451.8327070986,0
673,-74204.0569230773,0
674,-103908.766360955,0
675,-20771.4653421997,0
676,18530.0912371584,4
678,-55623.7166538667,0
679,-17431.6407185185,0
680,-8272.91702040238,0
681,-62296.4401177077,0
682,-22608.1382737097,0
683,-10640.8959772076,0
684,-50623.1392624525,0
685,-56265.4621517732,0
686,-10640.8959772076,0
687,-15514.2076222379,0
688,-25472.5070815847,0
689,-40533.2549117004,0
690,-60860.1464696518,0
691,-28170.7570506217,0
692,-12483.7863164082,0
693,21959.8231661402,3
694,-13885.8711025062,0
695,-43851.0835116976,0
696,-16778.4793605823,0
697,32475.4372800798,0
698,-32888.3126337732,0
699,-74890.462726835,0
700,-58239.8687331018,0
701,-51557.0674780242,0
702,-46282.1197159086,0
703,-40437.2230164077,0
704,-36422.8766928639,0
705,-55813.1404893605,0
706,-20490.48769345,0
707,-26116.0298879038,0
708,14432.876207253,0
709,-14947.0066993557,0
710,-79516.6327711653,0
711,-165644.012374723,0
712,-74616.9473006265,0
713,-31406.5494302174,0
714,-158527.707463429,0
715,-142571.730067459,0
716,-142571.730067459,0
717,-87065.9245994518,0
718,-36700.816935917,0
719,-25427.6418802479,0
720,-48060.4693443988,0
721,-88993.5035736558,0
722,-33176.9607806304,0
723,-39250.2485838924,0
725,-118867.112083787,0
726,-23821.5420585135,0
727,-56562.347231286,0
728,0,0
730,-7982.63015406425,0
731,17527.7492720286,14
732,14272.4571260226,21
733,50736.5369801198,9
734,0,0
735,-32888.3126337732,0
736,-32888.3126337732,0
737,-37746.9119444308,0
738,-18536.8912099664,0
739,-27457.2705910045,0
740,-46344.5101424897,0
741,-40462.4329658152,0
742,0,0
743,-25127.2698547707,0
744,-23908.4781862446,0
745,100.686792386987,37
746,0,0
747,-54998.649411087,0
748,-62397.5244256717,0
749,-54505.3918708292,0
750,-23799.8342065302,0
751,6196.52115719498,91
752,8071.87108961982,27
753,-13526.6320076825,0
754,-24151.8011124368,0
755,-18536.8912099664,0
756,23410.4993703555,22
757,-3930.93959630351,0
758,-39375.3978353139,0
