i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
92,3,0.182822591248039,0,0,1.03323255192649,0,0,1.47279637558689,45,1937.72392272949,1075.17532348633,3836.94515228271,0,0,0,1937.72392272949,1075.17532348633,3836.94515228271
93,3,0.0089386130167524,0,0,0.922105437803212,0,0,1.03819512820665,45,1167.59229278564,649.053043365479,2370.03766059875,0,0,0,1167.59229278564,649.053043365479,2370.03766059875
94,3,0.471450961235345,0,0,0.914915248106469,0,0,0.700953331464651,45,525.9306640625,350.828144073486,1579.61753463745,0,0,0,525.9306640625,350.828144073486,1579.61753463745
95,3,0.495798783275096,0,0,0.859705906324195,0,0,0.929945159914173,45,1039.23795318604,717.208602905273,3978.10259628296,0,0,0,1039.23795318604,717.208602905273,3978.10259628296
96,3,0.473627619066976,0,0,0.854006443540878,0,0,0.508340267516692,45,1288.69185638428,887.415901184082,4352.87403488159,0,0,0,1288.69185638428,887.415901184082,4352.87403488159
97,3,0.479498789713629,0,0,0.847583612386931,0,0,0.0189079762758843,45,1123.90671539307,777.041934967041,3543.37127494812,0,0,0,1123.90671539307,777.041934967041,3543.37127494812
98,3,0.448945111948055,0,0,0.757184802968426,0,0,0,36.7471098772376,1630.72329711914,1180.99306488037,5634.97167205811,0,0,0,1630.72329711914,1180.99306488037,5634.97167205811
99,3,0.425183466583016,0,0,0.73695053315005,0,0,0,34.3839805137771,218.076051712036,157.301999092102,746.961231708527,0,0,0,218.076051712036,157.301999092102,746.961231708527
100,1.77698275662603,0,0,0,0.931363741360506,0,0,0,30.7159281126492,4.28462362289429,9.90911364555359,40.9602548778057,0,0,0,4.28462362289429,9.90911364555359,40.9602548778057
101,1.89472999468927,0,0,0,0.848345446038146,0,0,0,33.7311889554421,243.888664245605,418.855159759521,1762.92093849182,0,0,0,243.888664245605,418.855159759521,1762.92093849182
102,2.15891216014062,0,0,0,0.86437291245915,0,0,0,35.2795774910172,654.688201904297,878.341735839844,3577.32337188721,0,0,0,654.688201904297,878.341735839844,3577.32337188721
103,3,0.0521691145831179,0,0,0.784754587854444,0,0,0,36.5942410136501,767.567543029785,860.947341918945,4211.90997695923,0,0,0,767.567543029785,860.947341918945,4211.90997695923
104,3,0.447196556026421,0,0,0.748747748461076,0,0,0,34.1286991938119,878.831298828125,632.866695404053,2979.79851531982,0,0,0,878.831298828125,632.866695404053,2979.79851531982
